category_id,id,group_name,category_name,category_description,count
cs.CL,26007,Computer Science,Computation and Language,"Covers natural language processing. Roughly includes material in ACM Subject Class I.2.7. Note that work on artificial languages (programming languages, logics, formal systems) that does not explicitly address natural-language issues broadly construed (natural-language processing, computational linguistics, speech, text retrieval, etc.) is not appropriate for this area.",26007
cond-mat.soft,24252,Physics,Soft Condensed Matter,"Membranes, polymers, liquid crystals, glasses, colloids, granular matter",24252
math.NA,23201,Mathematics,Numerical Analysis,"Numerical algorithms for problems in analysis and algebra, scientific computation",23201
physics.optics,22775,Physics,Optics,Adaptive optics. Astronomical optics. Atmospheric optics. Biomedical optics. Cardinal points. Collimation. Doppler effect. Fiber optics. Fourier optics. Geometrical optics (Gradient index optics. Holography. Infrared optics. Integrated optics. Laser applications. Laser optical systems. Lasers. Light amplification. Light diffraction. Luminescence. Microoptics. Nano optics. Ocean optics. Optical computing. Optical devices. Optical imaging. Optical materials. Optical metrology. Optical microscopy. Optical properties. Optical signal processing. Optical testing techniques. Optical wave propagation. Paraxial optics. Photoabsorption. Photoexcitations. Physical optics. Physiological optics. Quantum optics. Segmented optics. Spectra. Statistical optics. Surface optics. Ultrafast optics. Wave optics. X-ray optics.,22775
math.DS,21914,Mathematics,Dynamical Systems,"Dynamics of differential equations and flows, mechanics, classical few-body problems, iterations, complex dynamics, delayed differential equations",21914
hep-ex,20735,Physics,High Energy Physics - Experiment,Description coming soon,20735
math.FA,17274,Mathematics,Functional Analysis,"Banach spaces, function spaces, real functions, integral transforms, theory of distributions, measure theory",17274
astro-ph.EP,17159,Physics,Earth and Planetary Astrophysics,"Interplanetary medium, planetary physics, planetary astrobiology, extrasolar planets, comets, asteroids, meteorites. Structure and formation of the solar system",17159
hep-lat,16576,Physics,High Energy Physics - Lattice,Lattice field theory. Phenomenology from lattice field theory. Algorithms for lattice field theory.  Hardware for lattice field theory.,16576
cs.AI,16352,Computer Science,Artificial Intelligence,"Covers all areas of AI except Vision, Robotics, Machine Learning, Multiagent Systems, and Computation and Language (Natural Language Processing), which have separate subject areas. In particular, includes Expert Systems, Theorem Proving (although this may overlap with Logic in Computer Science), Knowledge Representation, Planning, and Uncertainty in AI. Roughly includes material in ACM Subject Classes I.2.0, I.2.1, I.2.3, I.2.4, I.2.8, and I.2.11.",16352
physics.soc-ph,15627,Physics,Physics and Society,"Structure, dynamics and collective behavior of societies and groups (human or otherwise). Quantitative analysis of social networks and other complex networks. Physics and engineering of infrastructure and systems of broad societal impact (e.g., energy grids, transportation networks).",15627
stat.ME,15477,Statistics,Methodology,"Design, Surveys, Model Selection, Multiple Testing, Multivariate Methods, Signal and Image Processing, Time Series, Smoothing, Spatial Statistics, Survival Analysis, Nonparametric and Semiparametric Methods",15477
math.ST,14882,Mathematics,Statistics Theory,"Applied, computational and theoretical statistics: e.g. statistical inference, regression, time series, multivariate analysis, data analysis, Markov chain Monte Carlo, design of experiments, case studies",14882
cs.CR,14816,Computer Science,Cryptography and Security,"Covers all areas of cryptography and security including authentication, public key cryptosytems, proof-carrying code, etc. Roughly includes material in ACM Subject Classes D.4.6 and E.3.",14816
astro-ph.IM,14455,Physics,Instrumentation and Methods for Astrophysics,"Detector and telescope design, experiment proposals. Laboratory Astrophysics. Methods for data analysis, statistical methods. Software, database design",14455
eess.SP,14363,Electrical Engineering and Systems Science,Signal Processing,"Theory, algorithms, performance analysis and applications of signal and data analysis, including physical modeling, processing, detection and parameter estimation, learning, mining, retrieval, and information extraction. The term ""signal"" includes speech, audio, sonar, radar, geophysical, physiological, (bio-) medical, image, video, and multimodal natural and man-made signals, including communication signals and data. Topics of interest include: statistical signal processing, spectral estimation and system identification; filter design, adaptive filtering / stochastic learning; (compressive) sampling, sensing, and transform-domain methods including fast algorithms; signal processing for machine learning and machine learning for signal processing applications; in-network and graph signal processing; convex and nonconvex optimization methods for signal processing applications; radar, sonar, and sensor array beamforming and direction finding; communications signal processing; low power, multi-core and system-on-chip signal processing; sensing, communication, analysis and optimization for cyber-physical systems such as power grids and the Internet of Things.",14363
physics.flu-dyn,14229,Physics,Fluid Dynamics,"Turbulence, instabilities, incompressible/compressible flows, reacting flows. Aero/hydrodynamics, fluid-structure interactions, acoustics. Biological fluid dynamics, micro/nanofluidics, interfacial phenomena. Complex fluids, suspensions and granular flows, porous media flows. Geophysical flows, thermoconvective and stratified flows. Mathematical and computational methods for fluid dynamics, fluid flow models, experimental techniques.",14229
math.CA,13813,Mathematics,Classical Analysis and ODEs,"Special functions, orthogonal polynomials, harmonic analysis, ODE's, differential relations, calculus of variations, approximations, expansions, asymptotics",13813
cond-mat,13649,,,,13649
math.GT,13521,Mathematics,Geometric Topology,"Manifolds, orbifolds, polyhedra, cell complexes, foliations, geometric structures",13521
cs.DS,13164,Computer Science,Data Structures and Algorithms,"Covers data structures and analysis of algorithms. Roughly includes material in ACM Subject Classes E.1, E.2, F.2.1, and F.2.2.",13164
cs.SY,12748,Computer Science,Systems and Control,"cs.SY is an alias for eess.SY. This section includes theoretical and experimental research covering all facets of automatic control systems. The section is focused on methods of control system analysis and design using tools of modeling, simulation and optimization. Specific areas of research include nonlinear, distributed, adaptive, stochastic and robust control in addition to hybrid and discrete event systems. Application areas include automotive and aerospace control systems, network control, biological systems, multiagent and cooperative control, robotics, reinforcement learning, sensor networks, control of cyber-physical and energy-related systems, and control of computing systems.",12748
math.RT,12725,Mathematics,Representation Theory,"Linear representations of algebras and groups, Lie theory, associative algebras, multilinear algebra",12725
cs.NI,12719,Computer Science,Networking and Internet Architecture,"Covers all aspects of computer communication networks, including network architecture and design, network protocols, and internetwork standards (like TCP/IP). Also includes topics, such as web caching, that are directly relevant to Internet architecture and performance. Roughly includes all of ACM Subject Class C.2 except C.2.4, which is more likely to have Distributed, Parallel, and Cluster Computing as the primary subject area.",12719
stat.TH,12210,Statistics,Statistics Theory,"stat.TH is an alias for math.ST. Asymptotics, Bayesian Inference, Decision Theory, Estimation, Foundations, Inference, Testing.",12210
eess.IV,11894,Electrical Engineering and Systems Science,Image and Video Processing,"Theory, algorithms, and architectures for the formation, capture, processing, communication, analysis, and display of images, video, and multidimensional signals in a wide variety of applications. Topics of interest include: mathematical, statistical, and perceptual image and video modeling and representation; linear and nonlinear filtering, de-blurring, enhancement, restoration, and reconstruction from degraded, low-resolution or tomographic data; lossless and lossy compression and coding; segmentation, alignment, and recognition; image rendering, visualization, and printing; computational imaging, including ultrasound, tomographic and magnetic resonance imaging; and image and video analysis, synthesis, storage, search and retrieval.",11894
math.GR,11853,Mathematics,Group Theory,"Finite groups, topological groups, representation theory, cohomology, classification and structure",11853
cs.RO,11844,Computer Science,Robotics,Roughly includes material in ACM Subject Class I.2.9.,11844
physics.ins-det,11728,Physics,Instrumentation and Detectors,"Instrumentation and Detectors for research in natural science, including optical, molecular, atomic, nuclear and particle physics instrumentation and the associated electronics, services, infrastructure and control equipment. ",11728
cond-mat.quant-gas,11534,Physics,Quantum Gases,"Ultracold atomic and molecular gases, Bose-Einstein condensation, Feshbach resonances, spinor condensates, optical lattices, quantum simulation with cold atoms and molecules, macroscopic interference phenomena",11534
cond-mat.dis-nn,11411,Physics,Disordered Systems and Neural Networks,"Glasses and spin glasses; properties of random, aperiodic and quasiperiodic systems; transport in disordered media; localization; phenomena mediated by defects and disorder; neural networks",11411
stat.AP,10823,Statistics,Applications,"Biology, Education, Epidemiology, Engineering, Environmental Sciences, Medical, Physical Sciences, Quality Control, Social Sciences",10823
physics.atom-ph,10703,Physics,Atomic Physics,"Atomic and molecular structure, spectra, collisions, and data. Atoms and molecules in external fields. Molecular dynamics and coherent and optical control. Cold atoms and molecules. Cold collisions. Optical lattices.",10703
cs.SI,10683,Computer Science,Social and Information Networks,"Covers the design, analysis, and modeling of social and information networks, including their applications for on-line information access, communication, and interaction, and their roles as datasets in the exploration of questions in these and other domains, including connections to the social and biological sciences. Analysis and modeling of such networks includes topics in ACM Subject classes F.2, G.2, G.3, H.2, and I.2; applications in computing include topics in H.3, H.4, and H.5; and applications at the interface of computing and other disciplines include topics in J.1--J.7. Papers on computer communication systems and network protocols (e.g. TCP/IP) are generally a closer fit to the Networking and Internet Architecture (cs.NI) category.",10683
nucl-ex,10450,Physics,Nuclear Experiment,Description coming soon,10450
cs.DC,10411,Computer Science,"Distributed, Parallel, and Cluster Computing","Covers fault-tolerance, distributed algorithms, stabilility, parallel computation, and cluster computing. Roughly includes material in ACM Subject Classes C.1.2, C.1.4, C.2.4, D.1.3, D.4.5, D.4.7, E.1.",10411
cs.NA,10378,Computer Science,Numerical Analysis,cs.NA is an alias for math.NA. Roughly includes material in ACM Subject Class G.1.,10378
math.QA,10313,Mathematics,Quantum Algebra,"Quantum groups, skein theories, operadic and diagrammatic algebra, quantum field theory",10313
eess.SY,9817,Electrical Engineering and Systems Science,Systems and Control,"This section includes theoretical and experimental research covering all facets of automatic control systems. The section is focused on methods of control system analysis and design using tools of modeling, simulation and optimization. Specific areas of research include nonlinear, distributed, adaptive, stochastic and robust control in addition to hybrid and discrete event systems. Application areas include automotive and aerospace control systems, network control, biological systems, multiagent and cooperative control, robotics, reinforcement learning, sensor networks, control of cyber-physical and energy-related systems, and control of computing systems.",9817
physics.plasm-ph,9058,Physics,Plasma Physics,"Fundamental plasma physics. Magnetically Confined Plasmas (includes magnetic fusion energy research). High Energy Density Plasmas (inertial confinement plasmas, laser-plasma interactions). Ionospheric, Heliophysical, and Astrophysical plasmas (includes sun and solar system plasmas). Lasers, Accelerators, and Radiation Generation. Low temperature plasmas and plasma applications (include dusty plasmas, semiconductor etching, plasma-based nanotechnology, medical applications). Plasma Diagnostics, Engineering and Enabling Technologies (includes fusion reactor design, heating systems, diagnostics, experimental techniques)",9058
math.RA,9011,Mathematics,Rings and Algebras,"Non-commutative rings and algebras, non-associative algebras, universal algebra and lattice theory, linear algebra, semigroups",9011
cs.LO,9008,Computer Science,Logic in Computer Science,"Covers all aspects of logic in computer science, including finite model theory, logics of programs, modal logic, and program verification. Programming language semantics should have Programming Languages as the primary subject area. Roughly includes material in ACM Subject Classes D.2.4, F.3.1, F.4.0, F.4.1, and F.4.2; some material in F.4.3 (formal languages) may also be appropriate here, although Computational Complexity is typically the more appropriate subject area.",9008
math.CV,9004,Mathematics,Complex Variables,"Holomorphic functions, automorphic group actions and forms, pseudoconvexity, complex geometry, analytic spaces, analytic sheaves",9004
physics.chem-ph,8928,Physics,Chemical Physics,"Experimental, computational, and theoretical physics of atoms, molecules, and clusters - Classical and quantum description of states, processes, and dynamics; spectroscopy, electronic structure, conformations, reactions, interactions, and phases. Chemical thermodynamics. Disperse systems. High pressure chemistry. Solid state chemistry. Surface and interface chemistry.",8928
q-bio.PE,8825,Quantitative Biology,Populations and Evolution,"Population dynamics, spatio-temporal and epidemiological models, dynamic speciation, co-evolution, biodiversity, foodwebs, aging; molecular evolution and phylogeny; directed evolution; origin of life",8825
nlin.CD,8776,Physics,Chaotic Dynamics,"dynamical systems, chaos, quantum chaos, topological dynamics, cycle expansions, turbulence, propagation",8776
math.LO,8667,Mathematics,Logic,"Logic, set theory, point-set topology, formal mathematics",8667
physics.gen-ph,8342,Physics,General Physics,Description coming soon,8342
cs.SE,8018,Computer Science,Software Engineering,"Covers design tools, software metrics, testing and debugging, programming environments, etc. Roughly includes material in all of ACM Subject Classes D.2, except that D.2.4 (program verification) should probably have Logics in Computer Science as the primary subject area.",8018
math.AT,7893,Mathematics,Algebraic Topology,"Homotopy theory, homological algebra, algebraic treatments of manifolds",7893
physics.comp-ph,7744,Physics,Computational Physics,All aspects of computational science applied to physics.,7744
cs.CY,7390,Computer Science,Computers and Society,"Covers impact of computers on society, computer ethics, information technology and public policy, legal aspects of computing, computers and education. Roughly includes material in ACM Subject Classes K.0, K.2, K.3, K.4, K.5, and K.7.",7390
math.OA,7289,Mathematics,Operator Algebras,"Algebras of operators on Hilbert space, C^*-algebras, von Neumann algebras, non-commutative geometry",7289
physics.app-ph,7284,Physics,Applied Physics,"Applications of physics to new technology, including electronic devices, optics, photonics, microwaves, spintronics, advanced materials, metamaterials, nanotechnology, and energy sciences.",7284
math.AC,7092,Mathematics,Commutative Algebra,"Commutative rings, modules, ideals, homological algebra, computational aspects, invariant theory, connections to algebraic geometry and combinatorics",7092
cs.DM,6997,Computer Science,Discrete Mathematics,"Covers combinatorics, graph theory, applications of probability. Roughly includes material in ACM Subject Classes G.2 and G.3.",6997
physics.bio-ph,6872,Physics,Biological Physics,"Molecular biophysics, cellular biophysics, neurological biophysics, membrane biophysics, single-molecule biophysics, ecological biophysics, quantum phenomena in biological systems (quantum biophysics), theoretical biophysics, molecular dynamics/modeling and simulation, game theory, biomechanics, bioinformatics, microorganisms, virology, evolution, biophysical methods.",6872
q-bio.NC,6865,Quantitative Biology,Neurons and Cognition,"Synapse, cortex, neuronal dynamics, neural network, sensorimotor control, behavior, attention",6865
eess.AS,6843,Electrical Engineering and Systems Science,Audio and Speech Processing,"Theory and methods for processing signals representing audio, speech, and language, and their applications. This includes analysis, synthesis, enhancement, transformation, classification and interpretation of such signals as well as the design, development, and evaluation of associated signal processing systems. Machine learning and pattern analysis applied to any of the above areas is also welcome.  Specific topics of interest include: auditory modeling and hearing aids; acoustic beamforming and source localization; classification of acoustic scenes; speaker separation; active noise control and echo cancellation; enhancement; de-reverberation; bioacoustics; music signals analysis, synthesis and modification; music information retrieval;  audio for multimedia and joint audio-video processing; spoken and written language modeling, segmentation, tagging, parsing, understanding, and translation; text mining; speech production, perception, and psychoacoustics; speech analysis, synthesis, and perceptual modeling and coding; robust speech recognition; speaker recognition and characterization; deep learning, online learning, and graphical models applied to speech, audio, and language signals; and implementation aspects ranging from system architecture to fast algorithms.",6843
cond-mat.other,6610,Physics,Other Condensed Matter,Work in condensed matter that does not fit into the other cond-mat classifications,6610
cs.GT,6094,Computer Science,Computer Science and Game Theory,"Covers all theoretical and applied aspects at the intersection of computer science and game theory, including work in mechanism design, learning in games (which may overlap with Learning), foundations of agent modeling in games (which may overlap with Multiagent systems), coordination, specification and formal methods for non-cooperative computational environments. The area also deals with applications of game theory to areas such as electronic commerce.",6094
cs.IR,6044,Computer Science,Information Retrieval,"Covers indexing, dictionaries, retrieval, content and analysis. Roughly includes material in ACM Subject Classes H.3.0, H.3.1, H.3.2, H.3.3, and H.3.4.",6044
cs.CC,5896,Computer Science,Computational Complexity,"Covers models of computation, complexity classes, structural complexity, complexity tradeoffs, upper and lower bounds. Roughly includes material in ACM Subject Classes F.1 (computation by abstract devices), F.2.3 (tradeoffs among complexity measures), and F.4.3 (formal languages), although some material in formal languages may be more appropriate for Logic in Computer Science. Some material in F.2.1 and F.2.2, may also be appropriate here, but is more likely to have Data Structures and Algorithms as the primary subject area.",5896
q-bio.QM,5811,Quantitative Biology,Quantitative Methods,"All experimental, numerical, statistical and mathematical contributions of value to biology",5811
nlin.SI,5575,Physics,Exactly Solvable and Integrable Systems,"exactly solvable systems, integrable PDEs, integrable ODEs, Painleve analysis, integrable discrete maps, solvable lattice models, integrable quantum systems",5575
cs.HC,5517,Computer Science,Human-Computer Interaction,"Covers human factors, user interfaces, and collaborative computing. Roughly includes material in ACM Subject Classes H.1.2 and all of H.5, except for H.5.1, which is more likely to have Multimedia as the primary subject area.",5517
math.MG,5297,Mathematics,Metric Geometry,"Euclidean, hyperbolic, discrete, convex, coarse geometry, comparisons in Riemannian geometry, symmetric spaces",5297
physics.acc-ph,5187,Physics,Accelerator Physics,Accelerator theory and simulation. Accelerator technology. Accelerator experiments. Beam Physics. Accelerator design and optimization. Advanced accelerator concepts. Radiation sources including synchrotron light sources and free electron lasers. Applications of accelerators.,5187
cs.NE,5135,Computer Science,Neural and Evolutionary Computing,"Covers neural networks, connectionism, genetic algorithms, artificial life, adaptive behavior. Roughly includes some material in ACM Subject Class C.1.3, I.2.6, I.5.",5135
nlin.PS,4535,Physics,Pattern Formation and Solitons,"pattern formation, coherent structures, solitons",4535
cs.DB,4526,Computer Science,Databases,"Covers database management, datamining, and data processing. Roughly includes material in ACM Subject Classes E.2, E.5, H.0, H.2, and J.1.",4526
physics.class-ph,4387,Physics,Classical Physics,"Newtonian and relativistic dynamics; many particle systems; planetary motions; chaos in classical dynamics. Maxwell's  equations and  dynamics of charged systems and  electromagnetic forces in materials. Vibrating systems such as membranes and cantilevers; optomechanics. Classical waves, including acoustics and elasticity; physics of music and musical instruments. Classical thermodynamics and  heat flow problems.",4387
physics.data-an,4282,Physics,"Data Analysis, Statistics and Probability","Methods, software and hardware for physics data analysis: data processing and storage; measurement methodology; statistical and mathematical aspects such as parametrization and uncertainties.",4282
cs.CG,4240,Computer Science,Computational Geometry,Roughly includes material in ACM Subject Classes I.3.5 and F.2.2.,4240
cs.SD,4217,Computer Science,Sound,"Covers all aspects of computing with sound, and sound as an information channel. Includes models of sound, analysis and synthesis, audio user interfaces, sonification of data, computer music, and sound signal processing. Includes ACM Subject Class H.5.5, and intersects with H.1.2, H.5.1, H.5.2, I.2.7, I.5.4, I.6.3, J.5, K.4.2.",4217
stat.CO,4165,Statistics,Computation,"Algorithms, Simulation, Visualization",4165
math.SG,4086,Mathematics,Symplectic Geometry,"Hamiltonian systems, symplectic flows, classical integrable systems",4086
math.SP,4086,Mathematics,Spectral Theory,"Schrodinger operators, operators on manifolds, general differential operators, numerical studies, integral operators, discrete models, resonances, non-self-adjoint operators, random operators/matrices",4086
q-bio.BM,3941,Quantitative Biology,Biomolecules,"DNA, RNA, proteins, lipids, etc.; molecular structures and folding kinetics; molecular interactions; single-molecule manipulation.",3941
physics.med-ph,3919,Physics,Medical Physics,"Radiation therapy. Radiation dosimetry. Biomedical imaging modelling.  Reconstruction, processing, and analysis. Biomedical system modelling and analysis. Health physics. New imaging or therapy modalities.",3919
cs.CE,3831,Computer Science,"Computational Engineering, Finance, and Science","Covers applications of computer science to the mathematical modeling of complex systems in the fields of science, engineering, and finance. Papers here are interdisciplinary and applications-oriented, focusing on techniques and tools that enable challenging computational simulations to be performed, for which the use of supercomputers or distributed computing platforms is often required. Includes material in ACM Subject Classes J.2, J.3, and J.4 (economics).",3831
cs.PL,3750,Computer Science,Programming Languages,"Covers programming language semantics, language features, programming approaches (such as object-oriented programming, functional programming, logic programming). Also includes material on compilers oriented towards programming languages; other material on compilers may be more appropriate in Architecture (AR). Roughly includes material in ACM Subject Classes D.1 and D.3.",3750
nlin.AO,3710,Physics,Adaptation and Self-Organizing Systems,"adaptation, self-organizing systems, statistical physics, fluctuating systems, stochastic processes, interacting particle systems, machine learning",3710
math.CT,3671,Mathematics,Category Theory,"Enriched categories, topoi, abelian categories, monoidal categories, homological algebra",3671
physics.geo-ph,3110,Physics,Geophysics,Atmospheric physics. Biogeosciences. Computational geophysics. Geographic location. Geoinformatics. Geophysical techniques. Hydrospheric geophysics. Magnetospheric physics. Mathematical geophysics. Planetology. Solar system. Solid earth geophysics. Space plasma physics. Mineral physics. High pressure physics.,3110
cs.DL,3069,Computer Science,Digital Libraries,"Covers all aspects of the digital library design and document and text creation. Note that there will be some overlap with Information Retrieval (which is a separate subject area). Roughly includes material in ACM Subject Classes H.3.5, H.3.6, H.3.7, I.7.",3069
math.GM,3054,Mathematics,General Mathematics,"Mathematical material of general interest, topics not covered elsewhere",3054
physics.ao-ph,2958,Physics,Atmospheric and Oceanic Physics,"Atmospheric and oceanic physics and physical chemistry, biogeophysics, and climate science",2958
math.GN,2713,Mathematics,General Topology,"Continuum theory, point-set topology, spaces with algebraic structure, foundations, dimension theory, local and global properties",2713
physics.hist-ph,2683,Physics,History and Philosophy of Physics,"History and philosophy of all branches of physics, astrophysics, and cosmology, including appreciations of physicists.",2683
q-bio.MN,2676,Quantitative Biology,Molecular Networks,"Gene regulation, signal transduction, proteomics, metabolomics, gene and enzymatic networks",2676
cs.FL,2557,Computer Science,Formal Languages and Automata Theory,"Covers automata theory, formal language theory, grammars, and combinatorics on words. This roughly corresponds to ACM Subject Classes F.1.1, and F.4.3. Papers dealing with computational complexity should go to cs.CC; papers dealing with logic should go to cs.LO.",2557
physics.ed-ph,2517,Physics,Physics Education,"Report of results of a research study, laboratory experience, assessment or classroom practice that represents a way to improve teaching and learning in physics. Also, report on misconceptions of students, textbook errors, and other similar information relative to promoting physics understanding.",2517
math.HO,2474,Mathematics,History and Overview,"Biographies, philosophy of mathematics, mathematics education, recreational mathematics, communication of mathematics, ethics in mathematics",2474
q-fin.EC,2424,Quantitative Finance,Economics,"q-fin.EC is an alias for econ.GN. Economics, including micro and macro economics, international economics, theory of the firm, labor economics, and other economic topics outside finance",2424
q-fin.ST,2394,Quantitative Finance,Statistical Finance,"Statistical, econometric and econophysics analyses with applications to financial markets and economic data",2394
math.KT,2225,Mathematics,K-Theory and Homology,"Algebraic and topological K-theory, relations with topology, commutative algebra, and operator algebras",2225
chao-dyn,2139,,,,2139
cs.MA,2093,Computer Science,Multiagent Systems,"Covers multiagent systems, distributed artificial intelligence, intelligent agents, coordinated interactions. and practical applications. Roughly covers ACM Subject Class I.2.11.",2093
cs.ET,2042,Computer Science,Emerging Technologies,"Covers approaches to information processing (computing, communication, sensing) and bio-chemical analysis based on alternatives to silicon CMOS-based technologies, such as nanoscale electronic, photonic, spin-based, superconducting, mechanical, bio-chemical and quantum technologies (this list is not exclusive). Topics of interest include (1) building blocks for emerging technologies, their scalability and adoption in larger systems, including integration with traditional technologies, (2) modeling, design and optimization of novel devices and systems, (3) models of computation, algorithm design and programming for emerging technologies.",2042
cs.OH,2019,Computer Science,Other Computer Science,This is the classification to use for documents that do not fit anywhere else.,2019
econ.EM,2011,Economics,Econometrics,"Econometric Theory, Micro-Econometrics, Macro-Econometrics, Empirical Content of Economic Relations discovered via New Methods, Methodological Aspects of the Application of Statistical Inference to Economic Data.",2011
q-fin.GN,1948,Quantitative Finance,General Finance,Development of general quantitative methodologies with applications in finance,1948
q-bio.GN,1935,Quantitative Biology,Genomics,"DNA sequencing and assembly; gene and motif finding; RNA editing and alternative splicing; genomic structure and processes (replication, transcription, methylation, etc); mutational processes.",1935
econ.GN,1915,Economics,General Economics,"General methodological, applied, and empirical contributions to economics.",1915
