year,id,references,title,abstract,authors,journal-ref,group_name,group_name_uq
1996,hep-th/9602052,157,Notes on D-Branes,"  This is a series of remedial lectures on open and unoriented strings for the
heterotic string generation. The particular focus is on the interesting
features that arise under T-duality---D-branes and orientifolds. The final
lecture discusses the application to string duality. There will be no puns.
Lectures presented by J. P. at the ITP from Nov. 16 to Dec. 5, 1995. References
updated through Jan. 25, 1996.
","Joseph Polchinski, Shyamoli Chaudhuri, Clifford V. Johnson",,Physics,Physics
1996,hep-th/9510017,136,Dirichlet-Branes and Ramond-Ramond Charges,"  We show that Dirichlet-branes, extended objects defined by mixed
Dirichlet-Neumann boundary conditions in string theory, break half of the
supersymmetries of the type~II superstring and carry a complete set of electric
and magnetic Ramond-Ramond charges. We also find that the product of the
electric and magnetic charges is a single Dirac unit, and that the quantum of
charge takes the value required by string duality. This is strong evidence that
the Dirchlet-branes are intrinsic to type II string theory and are the
Ramond-Ramond sources required by string duality. We also note the existence of
a previously overlooked 9-form potential in the IIa string, which gives rise to
an effective cosmological constant of undetermined magnitude.
",Joseph Polchinski,"Phys.Rev.Lett.75:4724-4727,1995",Physics,Physics
1996,hep-th/9601029,128,Microscopic Origin of the Bekenstein-Hawking Entropy,"  The Bekenstein-Hawking area-entropy relation $S_{BH}=A/4$ is derived for a
class of five-dimensional extremal black holes in string theory by counting the
degeneracy of BPS soliton bound states.
",A. Strominger and C. Vafa,"Phys.Lett.B379:99-104,1996",Physics,Physics
1997,hep-th/9610043,280,M Theory As A Matrix Model: A Conjecture,"  We suggest and motivate a precise equivalence between uncompactified eleven
dimensional M-theory and the N = infinity limit of the supersymmetric matrix
quantum mechanics describing D0-branes. The evidence for the conjecture
consists of several correspondences between the two theories. As a consequence
of supersymmetry the simple matrix model is rich enough to describe the
properties of the entire Fock space of massless well separated particles of the
supergravity theory. In one particular kinematic situation the leading large
distance interaction of these particles is exactly described by supergravity .
The model appears to be a nonperturbative realization of the holographic
principle. The membrane states required by M-theory are contained as
excitations of the matrix model. The membrane world volume is a noncommutative
geometry embedded in a noncommutative spacetime.
","T. Banks, W. Fischler, S.H. Shenker, L. Susskind","Phys.Rev.D55:5112-5128,1997",Physics,Physics
1997,hep-th/9611050,232,TASI Lectures on D-Branes,"  This is an introduction to the properties of D-branes, topological defects in
string theory on which string endpoints can live. D-branes provide a simple
description of various nonperturbative objects required by string duality, and
give new insight into the quantum mechanics of black holes and the nature of
spacetime at the shortest distances. The first two thirds of these lectures
closely follow the earlier ITP lectures hep-th/9602052, written with S.
Chaudhuri and C. Johnson. The final third includes more extensive applications
to string duality.
",Joseph Polchinski,,Physics,Physics
1998,hep-th/9711200,440,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
1999,hep-th/9711200,483,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2000,hep-th/9711200,342,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2001,hep-th/9711200,281,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2002,hep-th/9711200,368,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2003,hep-th/9711200,302,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2004,hep-th/9711200,369,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2005,hep-th/9711200,332,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2006,hep-th/9711200,430,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2007,hep-th/9711200,485,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2008,hep-th/9711200,562,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2009,hep-th/9711200,572,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2010,hep-th/9711200,575,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2011,hep-th/9711200,572,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2012,hep-th/9711200,534,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2016,hep-th/9711200,537,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2017,hep-th/9711200,492,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2018,hep-th/9711200,543,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
2019,hep-th/9711200,551,The Large N Limit of Superconformal Field Theories and Supergravity,"  We show that the large $N$ limit of certain conformal field theories in
various dimensions include in their Hilbert space a sector describing
supergravity on the product of Anti-deSitter spacetimes, spheres and other
compact manifolds. This is shown by taking some branes in the full M/string
theory and then taking a low energy limit where the field theory on the brane
decouples from the bulk. We observe that, in this limit, we can still trust the
near horizon geometry for large $N$. The enhanced supersymmetries of the near
horizon geometry correspond to the extra supersymmetry generators present in
the superconformal group (as opposed to just the super-Poincare group). The 't
Hooft limit of 4-d ${\cal N} =4$ super-Yang-Mills at the conformal point is
shown to contain strings: they are IIB strings. We conjecture that
compactifications of M/string theory on various Anti-deSitter spacetimes are
dual to various conformal field theories. This leads to a new proposal for a
definition of M-theory which could be extended to include five non-compact
dimensions.
",Juan M. Maldacena,"Adv.Theor.Math.Phys.2:231-252,1998",Physics,Physics
1998,hep-th/9802150,346,Anti De Sitter Space And Holography,"  Recently, it has been proposed by Maldacena that large $N$ limits of certain
conformal field theories in $d$ dimensions can be described in terms of
supergravity (and string theory) on the product of $d+1$-dimensional $AdS$
space with a compact manifold. Here we elaborate on this idea and propose a
precise correspondence between conformal field theory observables and those of
supergravity: correlation functions in conformal field theory are given by the
dependence of the supergravity action on the asymptotic behavior at infinity.
In particular, dimensions of operators in conformal field theory are given by
masses of particles in supergravity. As quantitative confirmation of this
correspondence, we note that the Kaluza-Klein modes of Type IIB supergravity on
$AdS_5\times {\bf S}^5$ match with the chiral operators of $\N=4$ super
Yang-Mills theory in four dimensions. With some further assumptions, one can
deduce a Hamiltonian version of the correspondence and show that the $\N=4$
theory has a large $N$ phase transition related to the thermodynamics of $AdS$
black holes.
",Edward Witten,"Adv.Theor.Math.Phys.2:253-291,1998",Physics,Physics
1999,hep-th/9802150,358,Anti De Sitter Space And Holography,"  Recently, it has been proposed by Maldacena that large $N$ limits of certain
conformal field theories in $d$ dimensions can be described in terms of
supergravity (and string theory) on the product of $d+1$-dimensional $AdS$
space with a compact manifold. Here we elaborate on this idea and propose a
precise correspondence between conformal field theory observables and those of
supergravity: correlation functions in conformal field theory are given by the
dependence of the supergravity action on the asymptotic behavior at infinity.
In particular, dimensions of operators in conformal field theory are given by
masses of particles in supergravity. As quantitative confirmation of this
correspondence, we note that the Kaluza-Klein modes of Type IIB supergravity on
$AdS_5\times {\bf S}^5$ match with the chiral operators of $\N=4$ super
Yang-Mills theory in four dimensions. With some further assumptions, one can
deduce a Hamiltonian version of the correspondence and show that the $\N=4$
theory has a large $N$ phase transition related to the thermodynamics of $AdS$
black holes.
",Edward Witten,"Adv.Theor.Math.Phys.2:253-291,1998",Physics,Physics
